fields.item_name,fields.brand_name,healthy
"Breakfast Buffet, Bacon Egg Casserole",Eat'n Park,1
"Salad Bar, Pasta",Eat'n Park,1
Kid's 1% Milk,Eat'n Park,1
"Breakfast Buffet, Texas Toast",Eat'n Park,1
Peanut Butter Blast Cake,Eat'n Park,0
Kid's Caffeine-Free Diet Pepsi,Eat'n Park,1
"Salad Bar, Mandarin Oranges",Eat'n Park,1
Kid's Gelatin,Eat'n Park,1
"Salad Bar, Lime Gelatin",Eat'n Park,1
Kid's Orange Juice,Eat'n Park,1
"Breakfast Buffet, Granola",Eat'n Park,1
"Regular Cheese, Portion for 12 inch Medium Pan Cheese Only Pizza",Domino's,1
"Sausage, Portion for 16 inch Extra Large Brooklyn Pizza",Domino's,1
"Spinach, Portion for 16 inch Extra Large Hand Tossed Pizza",Domino's,1
"Mushrooms, Portion for 14 inch Large Brooklyn Pizza",Domino's,1
"Pepperoni, Portion for 14 inch Large Crunchy Thin Crust Pizza",Domino's,1
"Chicken Grilled, Portion for 14 inch Large Hand Tossed Pizza",Domino's,1
"Sausage, Portion for 10 inch Small Hand Tossed Pizza",Domino's,1
"American Cheese, Portion for 6 inch Personal Hand Tossed Pizza",Domino's,1
"Pineapple, Portion for 12 inch Medium Pan Pizza",Domino's,1
"Pineapple, Portion for 12 inch Medium Crunchy Thin Crust Pizza",Domino's,1
"Sausage, Portion for 14 inch Large Hand Tossed Pizza",Domino's,1
"Green Olive, Portion for 10 inch Small Hand Tossed Pizza",Domino's,1
"Roasted Red Pepper, Portion for 16 inch Extra Large Hand Tossed Pizza",Domino's,1
"Hot Banana Peppers, Portion for 10 inch Small Gluten Free Pizza",Domino's,1
"Provolone, Portion for 16 inch Extra Large Hand Tossed Pizza",Domino's,1
"BBQ Sauce, Portion for 14 inch Large Brooklyn Pizza",Domino's,1
"Crust, Portion for 8 inch Extra Small Hand Tossed Pizza",Domino's,1
"Ham, Portion for 12 inch Medium Hand Tossed Pizza",Domino's,1
"Shredded Parmesan, Portion for 14 inch Large Hand Tossed Pizza",Domino's,1
"Salami, Portion for 16 inch Extra Large Hand Tossed Pizza",Domino's,1
"Philly Meat, Portion for 8 inch Extra Small Hand Tossed Pizza",Domino's,1
"Hearty Marinara Sauce, Portion for 6 inch Personal Hand Tossed Pizza",Domino's,1
"Beef, Portion for 8 inch Extra Small Hand Tossed Pizza",Domino's,1
"Hot Banana Peppers, Portion for 12 inch Medium Crunchy Thin Crust Pizza",Domino's,1
"Extra Cheese, Portion for 10 inch Small Crunchy Thin Crust Pizza",Domino's,1
"Sausage, Portion for 14 inch Large Brooklyn Pizza",Domino's,1
"Provolone, Portion for 10 inch Small Gluten Free Pizza",Domino's,1
"Jalapeno, Portion for 12 inch Medium Hand Tossed Pizza",Domino's,1
"Garlic, Portion for 12 inch Medium Hand Tossed Pizza",Domino's,1
"Provolone, Portion for 6 inch Personal Hand Tossed Pizza",Domino's,1
"Spinach, Portion for 14 inch Large Brooklyn Pizza",Domino's,1
"Roasted Red Pepper, Portion for 8 inch Extra Small Hand Tossed Pizza",Domino's,1
"Chorizo, Portion for 14 inch Large Crunchy Thin Crust Pizza",Domino's,1
"Alfredo Sauce, Portion for 16 inch Extra Large Hand Tossed Pizza",Domino's,1
"Roasted Red Pepper, Portion for 14 inch Large Hand Tossed Pizza",Domino's,1
"Hot Sauce, Portion for 8 inch Extra Small Hand Tossed Pizza",Domino's,1
"Double Cheese, Portion for 12 inch Medium Crunchy Thin Crust Pizza",Domino's,1
"Cheddar, Portion for 12 inch Medium Pan Pizza",Domino's,1
"Pepperoni, Portion for 12 inch Medium Pan Pizza",Domino's,1
"Alfredo Sauce, Portion for 8 inch Extra Small Hand Tossed Pizza",Domino's,1
"Pineapple, Portion for 8 inch Extra Small Hand Tossed Pizza",Domino's,1
"Spinach, Portion for 16 inch Extra Large Brooklyn Pizza",Domino's,1
"Hearty Marinara Sauce, Portion for 12 inch Medium Crunchy Thin Crust Pizza",Domino's,1
"Feta Cheese, Portion for 12 inch Medium Hand Tossed Pizza",Domino's,1
"Regular Cheese, Portion for 10 inch Small Hand Tossed Pizza",Domino's,1
"Pineapple, Portion for 10 inch Small Crunchy Thin Crust Pizza",Domino's,1
"Jalapeno, Portion for 10 inch Small Gluten Free Pizza",Domino's,1
"Hot Banana Peppers, Portion for 10 inch Small Crunchy Thin Crust Pizza",Domino's,1
"Pizza Sauce, Portion for 10 inch Small Crunchy Thin Crust Pizza",Domino's,1
"Mushrooms, Portion for 10 inch Small Hand Tossed Pizza",Domino's,1
Strawberry Whip,Ryan's Grill Buffet Bakery,0
"Bacon Bits, Real",Ryan's Grill Buffet Bakery,1
Cherry Tomatoes,Ryan's Grill Buffet Bakery,1
Cucumbers,Ryan's Grill Buffet Bakery,1
Feta Cheese,Ryan's Grill Buffet Bakery,1
Kidney Beans,Ryan's Grill Buffet Bakery,1
Peas,Ryan's Grill Buffet Bakery,1
Shredded Monterey Jack Cheese,Ryan's Grill Buffet Bakery,1
BBQ Beef,Ryan's Grill Buffet Bakery,1
Butterfly Shrimp,Ryan's Grill Buffet Bakery,1
Carved Rope Sausage,Ryan's Grill Buffet Bakery,0
Chicken Zucchini Stir-Fry,Ryan's Grill Buffet Bakery,1
Country Fried Steak with Gravy,Ryan's Grill Buffet Bakery,0
Fried Shrimp,Ryan's Grill Buffet Bakery,1
Grilled Pork Steak,Ryan's Grill Buffet Bakery,1
Grilled Smoked Sausage,Ryan's Grill Buffet Bakery,1
Hand Breaded Fried Chicken Wing,Ryan's Grill Buffet Bakery,1
Honey Glazed Baked Ham,Ryan's Grill Buffet Bakery,0
Orange Chicken,Ryan's Grill Buffet Bakery,0
Cheese Pizza,Ryan's Grill Buffet Bakery,1
Rotisserie Chicken Breast,Ryan's Grill Buffet Bakery,0
Salmon with Creole Shrimp,Ryan's Grill Buffet Bakery,1
Traditional Baked Chicken Breast,Ryan's Grill Buffet Bakery,0
Traditional Baked Chicken Thigh,Ryan's Grill Buffet Bakery,0
Beef Gravy,Ryan's Grill Buffet Bakery,1
Queso Dip,Ryan's Grill Buffet Bakery,1
Bread Dressing,Ryan's Grill Buffet Bakery,1
Candied Yams,Ryan's Grill Buffet Bakery,1
French Fries,Ryan's Grill Buffet Bakery,1
German Boiled Cabbage,Ryan's Grill Buffet Bakery,1
Grilled Cowboy Potatoes,Ryan's Grill Buffet Bakery,1
Potato Skins,Ryan's Grill Buffet Bakery,1
Spinach Marie,Ryan's Grill Buffet Bakery,1
Sweet Potatoes,Ryan's Grill Buffet Bakery,1
Chicken Tortilla Soup,Ryan's Grill Buffet Bakery,1
Minestrone Soup,Ryan's Grill Buffet Bakery,1
"Cappuccino, all flavors",Ryan's Grill Buffet Bakery,1
"Carbonated Beverages, all flavors",Ryan's Grill Buffet Bakery,0
Hot Chocolate,Ryan's Grill Buffet Bakery,1
Lemonade,Ryan's Grill Buffet Bakery,1
Unsweetened Iced Tea,Ryan's Grill Buffet Bakery,1
Crisp Rice Cereal,Ryan's Grill Buffet Bakery,1
Maple Flavored Syrup,Ryan's Grill Buffet Bakery,0
Poached Eggs,Ryan's Grill Buffet Bakery,0
Scrambled Eggs,Ryan's Grill Buffet Bakery,0
Toasted Oat Cereal,Ryan's Grill Buffet Bakery,1
Chicken Fajita,Ryan's Grill Buffet Bakery,0
Fried Jalapenos,Ryan's Grill Buffet Bakery,1
Potatoes Con Queso,Ryan's Grill Buffet Bakery,1
Shredded Cheddar Cheese,Ryan's Grill Buffet Bakery,1
Rotisserie-Style Chicken on Spinach Wrap,Subway,0
Sweet Onion Chicken Teriyaki on Tomato Basil Wrap,Subway,0
Steak & Cheese on Tomato Basil Wrap,Subway,0
Fish Filet,Subway,1
Spinach Wrap,Subway,0
"Footlong Steak, Egg White & Cheese",Subway,0
Footlong Egg White Sunrise Subway Melt,Subway,0
Footlong Chicken Parmesan,Subway,0
Footlong Egg White & Cheese Flatbread,Subway,0
Footlong Malibu Garden Vegan Patty,Subway,0
"Footlong Black Forest Ham, Egg White & Cheese",Subway,0
6 inch Crunchy Chicken Enchilada,Subway,0
"Footlong Bacon, Egg White & Cheese Flatbread",Subway,0
"Footlong Steak, Egg & Cheese Flatbread",Subway,0
6 inch Egg & Cheese Flatbread,Subway,0
"6 inch Bacon, Egg & Cheese Flatbread",Subway,0
"Footlong Bacon, Egg & Cheese Flatbread",Subway,0
Cheese Flatizza,Subway,0
Footlong Crunchy Chicken Enchilada,Subway,0
Footlong Turkey & Bacon,Subway,0
Footlong Egg Salad,Subway,0
Brownie,Subway,0
Creamy Sriracha,Subway,1
Triple Berry Muffin,Subway,1
Savory Caesar,Subway,1
BBQ Rib Patty,Subway,0
Signature Horseradish Sauce,Subway,1
Corned Beef,Subway,0
Rotisserie-Style Chicken,Subway,1
"Orange Peach Mango Yogurt, Mini",Pinkberry,1
"Chocolate Banana Smoothie, 24 fl oz",Pinkberry,0
