,fields.item_name,fields.brand_name,healthy,clean_item_name,filtered_item_name
17,Godiva Flight,Texas de Brazil,1,"['godiva', 'flight']","['godiva', 'flight']"
18,Mint Sauce,Texas de Brazil,1,"['mint', 'sauce']","['mint', 'sauc']"
19,Caipirinha,Texas de Brazil,1,['caipirinha'],['caipirinha']
20,Hummus,Texas de Brazil,1,['hummus'],['hummu']
21,Santa Fe Salad,Texas de Brazil,1,"['santa', 'fe', 'salad']","['santa', 'fe', 'salad']"
22,Lamb Chops,Texas de Brazil,1,"['lamb', 'chops']","['lamb', 'chop']"
23,Brazilian Rose,Texas de Brazil,1,"['brazilian', 'rose']","['brazilian', 'rose']"
24,Grand Marnier Flight,Texas de Brazil,1,"['grand', 'marnier', 'flight']","['grand', 'marnier', 'flight']"
25,Pecan Pie with Cream Cheese Center a la Mode,Texas de Brazil,0,"['pecan', 'pie', 'with', 'cream', 'cheese', 'center', 'a', 'la', 'mode']","['pecan', 'pie', 'cream', 'chees', 'center', 'la', 'mode']"
26,Espresso Delight,Texas de Brazil,1,"['espresso', 'delight']","['espresso', 'delight']"
27,Grilled Provolone Cheese,Texas de Brazil,1,"['grilled', 'provolone', 'cheese']","['grill', 'provolon', 'chees']"
28,Patron Flight,Texas de Brazil,1,"['patron', 'flight']","['patron', 'flight']"
29,Ipanema Margarita,Texas de Brazil,1,"['ipanema', 'margarita']","['ipanema', 'margarita']"
30,Hennessy Flight,Texas de Brazil,1,"['hennessy', 'flight']","['hennessi', 'flight']"
31,Orange Vinaigrette,Texas de Brazil,1,"['orange', 'vinaigrette']","['orang', 'vinaigrett']"
32,Cucumber Salad,Texas de Brazil,0,"['cucumber', 'salad']","['cucumb', 'salad']"
33,The Ruler of Marula,Texas de Brazil,1,"['the', 'ruler', 'of', 'marula']","['ruler', 'marula']"
34,Liquor (94 Proof),Texas de Brazil,1,"['liquor', '94', 'proof']","['liquor', '94', 'proof']"
35,Wine By The Glass - Red,Texas de Brazil,1,"['wine', 'by', 'the', 'glass', 'red']","['wine', 'glass', 'red']"
36,Coconut Chess Pie a la Mode,Texas de Brazil,0,"['coconut', 'chess', 'pie', 'a', 'la', 'mode']","['coconut', 'chess', 'pie', 'la', 'mode']"
37,Picanha,Texas de Brazil,1,['picanha'],['picanha']
38,Taylor Fladgate Flight,Texas de Brazil,1,"['taylor', 'fladgate', 'flight']","['taylor', 'fladgat', 'flight']"
39,Shrimp Salad,Texas de Brazil,1,"['shrimp', 'salad']","['shrimp', 'salad']"
40,Salami,Texas de Brazil,1,['salami'],['salami']
41,Quinoa Salad,Texas de Brazil,1,"['quinoa', 'salad']","['quinoa', 'salad']"
42,Sauteed Mushrooms,Texas de Brazil,1,"['sauteed', 'mushrooms']","['saute', 'mushroom']"
43,Cipollini Onions,Texas de Brazil,1,"['cipollini', 'onions']","['cipollini', 'onion']"
44,Potatoes au Gratin,Texas de Brazil,1,"['potatoes', 'au', 'gratin']","['potato', 'au', 'gratin']"
45,Seared Tuna Salad,Just Salad,1,"['seared', 'tuna', 'salad']","['sear', 'tuna', 'salad']"
46,Seared Ahi Tuna,Just Salad,1,"['seared', 'ahi', 'tuna']","['sear', 'ahi', 'tuna']"
47,Black Beans,Just Salad,1,"['black', 'beans']","['black', 'bean']"
48,Pita Chips,Just Salad,1,"['pita', 'chips']","['pita', 'chip']"
49,Sharp White Cheddar,Just Salad,1,"['sharp', 'white', 'cheddar']","['sharp', 'white', 'cheddar']"
50,Kids Boneless Wings With Root Beer Glaze,BJ's Restaurants,0,"['kids', 'boneless', 'wings', 'with', 'root', 'beer', 'glaze']","['kid', 'boneless', 'wing', 'root', 'beer', 'glaze']"
51,Best Beginnings Appetizer Combo With Cherry Chipotle Glaze,BJ's Restaurants,0,"['best', 'beginnings', 'appetizer', 'combo', 'with', 'cherry', 'chipotle', 'glaze']","['best', 'begin', 'appet', 'combo', 'cherri', 'chipotl', 'glaze']"
52,Brewhouse Meatballs,BJ's Restaurants,0,"['brewhouse', 'meatballs']","['brewhous', 'meatbal']"
53,Broccoli,BJ's Restaurants,1,['broccoli'],['broccoli']
54,Garlic Bread Knots,BJ's Restaurants,1,"['garlic', 'bread', 'knots']","['garlic', 'bread', 'knot']"
55,"Mini Pizza Topping, Housemade Meatballs",BJ's Restaurants,1,"['mini', 'pizza', 'topping', 'housemade', 'meatballs']","['mini', 'pizza', 'top', 'housemad', 'meatbal']"
56,Two Eggs Any Style With Sourdough Toast,BJ's Restaurants,0,"['two', 'eggs', 'any', 'style', 'with', 'sourdough', 'toast']","['two', 'egg', 'style', 'sourdough', 'toast']"
57,"Catering, Lemon Thyme Chicken",BJ's Restaurants,0,"['catering', 'lemon', 'thyme', 'chicken']","['cater', 'lemon', 'thyme', 'chicken']"
58,Kids Crispy Mahi-Mahi Taco,BJ's Restaurants,0,"['kids', 'crispy', 'mahimahi', 'taco']","['kid', 'crispi', 'mahimahi', 'taco']"
59,"Catering, Root Beer Glazed Ribs Appetizer",BJ's Restaurants,0,"['catering', 'root', 'beer', 'glazed', 'ribs', 'appetizer']","['cater', 'root', 'beer', 'glaze', 'rib', 'appet']"
60,BJ's Piranha Pale Ale,BJ's Restaurants,1,"['bjs', 'piranha', 'pale', 'ale']","['bj', 'piranha', 'pale', 'ale']"
61,"Burger Add On, Fried Egg",BJ's Restaurants,0,"['burger', 'add', 'on', 'fried', 'egg']","['burger', 'add', 'fri', 'egg']"
62,Buttermilk Pancake Combo With Ham,BJ's Restaurants,0,"['buttermilk', 'pancake', 'combo', 'with', 'ham']","['buttermilk', 'pancak', 'combo', 'ham']"
63,Pirahna Pale Ale Chili And Cheese Potato,BJ's Restaurants,0,"['pirahna', 'pale', 'ale', 'chili', 'and', 'cheese', 'potato']","['pirahna', 'pale', 'ale', 'chili', 'chees', 'potato']"
64,Deep Dish Ziti,BJ's Restaurants,0,"['deep', 'dish', 'ziti']","['deep', 'dish', 'ziti']"
65,Chimichurri Chicken,BJ's Restaurants,0,"['chimichurri', 'chicken']","['chimichurri', 'chicken']"
66,Mini Monkey Bread Pizookie,BJ's Restaurants,0,"['mini', 'monkey', 'bread', 'pizookie']","['mini', 'monkey', 'bread', 'pizooki']"
67,"Catering Salads, Asian Chopped Salad",BJ's Restaurants,0,"['catering', 'salads', 'asian', 'chopped', 'salad']","['cater', 'salad', 'asian', 'chop', 'salad']"
68,"Catering, Mandarin Orange Green Tea",BJ's Restaurants,1,"['catering', 'mandarin', 'orange', 'green', 'tea']","['cater', 'mandarin', 'orang', 'green', 'tea']"
69,Best Beginnings Appetizer Combo With Nashville Hot Sauce,BJ's Restaurants,0,"['best', 'beginnings', 'appetizer', 'combo', 'with', 'nashville', 'hot', 'sauce']","['best', 'begin', 'appet', 'combo', 'nashvil', 'hot', 'sauc']"
70,Mini Cookies 'N' Cream Pizookie,BJ's Restaurants,0,"['mini', 'cookies', 'n', 'cream', 'pizookie']","['mini', 'cooki', 'n', 'cream', 'pizooki']"
71,BJ's Nutty Brewnette,BJ's Restaurants,1,"['bjs', 'nutty', 'brewnette']","['bj', 'nutti', 'brewnett']"
72,"Catering, BJ's Fresh Squeezed Lemonade",BJ's Restaurants,0,"['catering', 'bjs', 'fresh', 'squeezed', 'lemonade']","['cater', 'bj', 'fresh', 'squeez', 'lemonad']"
73,Rice Wine Vinaigrette,BJ's Restaurants,1,"['rice', 'wine', 'vinaigrette']","['rice', 'wine', 'vinaigrett']"
74,Sparkling Sangria,BJ's Restaurants,1,"['sparkling', 'sangria']","['sparkl', 'sangria']"
75,"Catering, Vegetarian Hoagie",BJ's Restaurants,0,"['catering', 'vegetarian', 'hoagie']","['cater', 'vegetarian', 'hoagi']"
76,Orange Cream Soda,BJ's Restaurants,0,"['orange', 'cream', 'soda']","['orang', 'cream', 'soda']"
77,Raspberry Sparkling Water,BJ's Restaurants,1,"['raspberry', 'sparkling', 'water']","['raspberri', 'sparkl', 'water']"
78,Hot Chocolate,BJ's Restaurants,1,"['hot', 'chocolate']","['hot', 'chocol']"
79,"Buttermilk Pancakes, Short Stack",BJ's Restaurants,0,"['buttermilk', 'pancakes', 'short', 'stack']","['buttermilk', 'pancak', 'short', 'stack']"
80,Sourdough Toast,BJ's Restaurants,1,"['sourdough', 'toast']","['sourdough', 'toast']"
81,Oil & Vinegar,BJ's Restaurants,0,"['oil', 'vinegar']","['oil', 'vinegar']"
82,"Large Pizza Topping, Artichoke Hearts",BJ's Restaurants,1,"['large', 'pizza', 'topping', 'artichoke', 'hearts']","['larg', 'pizza', 'top', 'artichok', 'heart']"
83,Chocolate Chunk Pizookie,BJ's Restaurants,0,"['chocolate', 'chunk', 'pizookie']","['chocol', 'chunk', 'pizooki']"
84,Kids Mashed Potatoes,BJ's Restaurants,0,"['kids', 'mashed', 'potatoes']","['kid', 'mash', 'potato']"
85,Kids Monkey Bread Pizookie,BJ's Restaurants,0,"['kids', 'monkey', 'bread', 'pizookie']","['kid', 'monkey', 'bread', 'pizooki']"
86,Shrimp Scampi Pasta,BJ's Restaurants,0,"['shrimp', 'scampi', 'pasta']","['shrimp', 'scampi', 'pasta']"
87,Mountain Dew,BJ's Restaurants,0,"['mountain', 'dew']","['mountain', 'dew']"
88,"Large Pizza Topping, Roasted Asparagus",BJ's Restaurants,1,"['large', 'pizza', 'topping', 'roasted', 'asparagus']","['larg', 'pizza', 'top', 'roast', 'asparagu']"
89,Kids Fresh Fruit,BJ's Restaurants,1,"['kids', 'fresh', 'fruit']","['kid', 'fresh', 'fruit']"
90,Kids Orange Juice,BJ's Restaurants,1,"['kids', 'orange', 'juice']","['kid', 'orang', 'juic']"
91,"Large Pizza Topping, Fire-Roasted Red Peppers",BJ's Restaurants,1,"['large', 'pizza', 'topping', 'fireroasted', 'red', 'peppers']","['larg', 'pizza', 'top', 'fireroast', 'red', 'pepper']"
92,Lemon Thyme Chicken,BJ's Restaurants,0,"['lemon', 'thyme', 'chicken']","['lemon', 'thyme', 'chicken']"
93,Sliders,BJ's Restaurants,0,['sliders'],['slider']
94,Crispy Fried Artichokes,BJ's Restaurants,0,"['crispy', 'fried', 'artichokes']","['crispi', 'fri', 'artichok']"
95,"Kids Pasta, Grilled Chicken",BJ's Restaurants,1,"['kids', 'pasta', 'grilled', 'chicken']","['kid', 'pasta', 'grill', 'chicken']"
96,"BJ's Classic Combo Deep Dish Pizza, Medium",BJ's Restaurants,0,"['bjs', 'classic', 'combo', 'deep', 'dish', 'pizza', 'medium']","['bj', 'classic', 'combo', 'deep', 'dish', 'pizza', 'medium']"
97,"Large Pizza Topping, Green Bell Peppers",BJ's Restaurants,1,"['large', 'pizza', 'topping', 'green', 'bell', 'peppers']","['larg', 'pizza', 'top', 'green', 'bell', 'pepper']"
98,BJ's Classic Rib-Eye,BJ's Restaurants,0,"['bjs', 'classic', 'ribeye']","['bj', 'classic', 'ribey']"
99,"Buttermilk Pancakes, Full Stack",BJ's Restaurants,0,"['buttermilk', 'pancakes', 'full', 'stack']","['buttermilk', 'pancak', 'full', 'stack']"
100,Kids Chocolate Milk,BJ's Restaurants,1,"['kids', 'chocolate', 'milk']","['kid', 'chocol', 'milk']"
101,Honey-Crisp Chicken Salad,BJ's Restaurants,0,"['honeycrisp', 'chicken', 'salad']","['honeycrisp', 'chicken', 'salad']"
102,Pepperoni Extreme Flatbread Pizza,BJ's Restaurants,1,"['pepperoni', 'extreme', 'flatbread', 'pizza']","['pepperoni', 'extrem', 'flatbread', 'pizza']"
103,"Pepperoni Extreme Deep Dish Pizza, Medium",BJ's Restaurants,0,"['pepperoni', 'extreme', 'deep', 'dish', 'pizza', 'medium']","['pepperoni', 'extrem', 'deep', 'dish', 'pizza', 'medium']"
104,"Gourmet Five Meat Deep Dish Pizza, Medium",BJ's Restaurants,0,"['gourmet', 'five', 'meat', 'deep', 'dish', 'pizza', 'medium']","['gourmet', 'five', 'meat', 'deep', 'dish', 'pizza', 'medium']"
105,Bleu Cheese Dressing,BJ's Restaurants,1,"['bleu', 'cheese', 'dressing']","['bleu', 'chees', 'dress']"
106,Kids Lemonade,BJ's Restaurants,0,"['kids', 'lemonade']","['kid', 'lemonad']"
107,Ahi Poke,BJ's Restaurants,0,"['ahi', 'poke']","['ahi', 'poke']"
108,Parmesan-Crusted Chicken,BJ's Restaurants,0,"['parmesancrusted', 'chicken']","['parmesancrust', 'chicken']"
109,"Chicken Bacon Ranch Deep Dish Pizza, Large",BJ's Restaurants,0,"['chicken', 'bacon', 'ranch', 'deep', 'dish', 'pizza', 'large']","['chicken', 'bacon', 'ranch', 'deep', 'dish', 'pizza', 'larg']"
110,House Top Sirloin,BJ's Restaurants,0,"['house', 'top', 'sirloin']","['hous', 'top', 'sirloin']"
111,"Sweet Pig Deep Dish Pizza, Mini",BJ's Restaurants,1,"['sweet', 'pig', 'deep', 'dish', 'pizza', 'mini']","['sweet', 'pig', 'deep', 'dish', 'pizza', 'mini']"
112,"Gourmet Five Meat Deep Dish Pizza, Small",BJ's Restaurants,0,"['gourmet', 'five', 'meat', 'deep', 'dish', 'pizza', 'small']","['gourmet', 'five', 'meat', 'deep', 'dish', 'pizza', 'small']"
113,"BJ's Favorite Deep Dish Pizza, Mini",BJ's Restaurants,1,"['bjs', 'favorite', 'deep', 'dish', 'pizza', 'mini']","['bj', 'favorit', 'deep', 'dish', 'pizza', 'mini']"
114,"Chicken Bacon Ranch Deep Dish Pizza, Mini",BJ's Restaurants,1,"['chicken', 'bacon', 'ranch', 'deep', 'dish', 'pizza', 'mini']","['chicken', 'bacon', 'ranch', 'deep', 'dish', 'pizza', 'mini']"
115,"Sweet Pig Deep Dish Pizza, Small",BJ's Restaurants,1,"['sweet', 'pig', 'deep', 'dish', 'pizza', 'small']","['sweet', 'pig', 'deep', 'dish', 'pizza', 'small']"
116,Italian Dressing,BJ's Restaurants,1,"['italian', 'dressing']","['italian', 'dress']"
117,"Tomato Basil Soup, Cup",Buca Di Beppo,0,"['tomato', 'basil', 'soup', 'cup']","['tomato', 'basil', 'soup', 'cup']"
118,Bucatini Amatriciana,Buca Di Beppo,0,"['bucatini', 'amatriciana']","['bucatini', 'amatriciana']"
119,"Italian Wedding Soup, Bowl",Buca Di Beppo,0,"['italian', 'wedding', 'soup', 'bowl']","['italian', 'wed', 'soup', 'bowl']"
120,Tortellini Bianca,Buca Di Beppo,0,"['tortellini', 'bianca']","['tortellini', 'bianca']"
121,Salmon Sorrento,Buca Di Beppo,0,"['salmon', 'sorrento']","['salmon', 'sorrento']"
122,Kid's Spaghetti with Meatball,Buca Di Beppo,0,"['kids', 'spaghetti', 'with', 'meatball']","['kid', 'spaghetti', 'meatbal']"
123,Kid's Pisa Punch,Buca Di Beppo,1,"['kids', 'pisa', 'punch']","['kid', 'pisa', 'punch']"
124,Caesar Salad,Buca Di Beppo,1,"['caesar', 'salad']","['caesar', 'salad']"
125,Chicken Limone,Buca Di Beppo,0,"['chicken', 'limone']","['chicken', 'limon']"
126,Chicken Parmigiana,Buca Di Beppo,0,"['chicken', 'parmigiana']","['chicken', 'parmigiana']"
127,Meatball,Buca Di Beppo,0,['meatball'],['meatbal']
128,"Minestrone Soup, Bowl",Buca Di Beppo,0,"['minestrone', 'soup', 'bowl']","['minestron', 'soup', 'bowl']"
129,Penne San Remo,Buca Di Beppo,0,"['penne', 'san', 'remo']","['penn', 'san', 'remo']"
130,Spaghetti with Meat Sauce,Buca Di Beppo,0,"['spaghetti', 'with', 'meat', 'sauce']","['spaghetti', 'meat', 'sauc']"
131,Spicy Chicken Rigatoni,Buca Di Beppo,0,"['spicy', 'chicken', 'rigatoni']","['spici', 'chicken', 'rigatoni']"
132,Tiramisu,Buca Di Beppo,0,['tiramisu'],['tiramisu']
133,"Flavored Tea, With Ice, Orange",Carrabba's Italian Grill,1,"['flavored', 'tea', 'with', 'ice', 'orange']","['flavor', 'tea', 'ice', 'orang']"
134,"Catering, Meatballs & Ricotta",Carrabba's Italian Grill,0,"['catering', 'meatballs', 'ricotta']","['cater', 'meatbal', 'ricotta']"
135,"Catering, Mezzaluna, 10 Servings",Carrabba's Italian Grill,0,"['catering', 'mezzaluna', '10', 'servings']","['cater', 'mezzaluna', '10', 'serv']"
136,Penne Pomodoro,Carrabba's Italian Grill,0,"['penne', 'pomodoro']","['penn', 'pomodoro']"
137,"Kids, Side, Steamed Spinach",Carrabba's Italian Grill,1,"['kids', 'side', 'steamed', 'spinach']","['kid', 'side', 'steam', 'spinach']"
138,"Kids, Grilled Cheese",Carrabba's Italian Grill,0,"['kids', 'grilled', 'cheese']","['kid', 'grill', 'chees']"
139,"Topping, Garlic Aioli",Carrabba's Italian Grill,0,"['topping', 'garlic', 'aioli']","['top', 'garlic', 'aioli']"
140,"Topping, Gorgonzola Cheese Sauce",Carrabba's Italian Grill,1,"['topping', 'gorgonzola', 'cheese', 'sauce']","['top', 'gorgonzola', 'chees', 'sauc']"
141,"Catering, Chicken Parmesan, 10 Servings",Carrabba's Italian Grill,0,"['catering', 'chicken', 'parmesan', '10', 'servings']","['cater', 'chicken', 'parmesan', '10', 'serv']"
142,"Lasagne Family Bundle, 4 Servings",Carrabba's Italian Grill,0,"['lasagne', 'family', 'bundle', '4', 'servings']","['lasagn', 'famili', 'bundl', '4', 'serv']"
143,Calamari,Carrabba's Italian Grill,0,['calamari'],['calamari']
144,"Caesar Salad Family Bundle, 4 Servings",Carrabba's Italian Grill,0,"['caesar', 'salad', 'family', 'bundle', '4', 'servings']","['caesar', 'salad', 'famili', 'bundl', '4', 'serv']"
145,"Catering, Chips With Gorgonzola, 1 Serving",Carrabba's Italian Grill,1,"['catering', 'chips', 'with', 'gorgonzola', '1', 'serving']","['cater', 'chip', 'gorgonzola', '1', 'serv']"
146,Cauliflower Fritte,Carrabba's Italian Grill,0,"['cauliflower', 'fritte']","['cauliflow', 'fritt']"
147,"Garlic Mashed Potatoes Family Bundle, 4 Servings",Carrabba's Italian Grill,0,"['garlic', 'mashed', 'potatoes', 'family', 'bundle', '4', 'servings']","['garlic', 'mash', 'potato', 'famili', 'bundl', '4', 'serv']"
148,"Spaghetti Meat Sauce Family Bundle, 4 Servings",Carrabba's Italian Grill,0,"['spaghetti', 'meat', 'sauce', 'family', 'bundle', '4', 'servings']","['spaghetti', 'meat', 'sauc', 'famili', 'bundl', '4', 'serv']"
149,"House Salad Family Bundle, 1 Serving",Carrabba's Italian Grill,0,"['house', 'salad', 'family', 'bundle', '1', 'serving']","['hous', 'salad', 'famili', 'bundl', '1', 'serv']"
150,"Kids, 2% Milk",Carrabba's Italian Grill,1,"['kids', '2', 'milk']","['kid', '2', 'milk']"
151,Linguine Positano With Chicken With Gluten Free Pasta,Carrabba's Italian Grill,0,"['linguine', 'positano', 'with', 'chicken', 'with', 'gluten', 'free', 'pasta']","['linguin', 'positano', 'chicken', 'gluten', 'free', 'pasta']"
152,"Lunch, Lasagne",Carrabba's Italian Grill,0,"['lunch', 'lasagne']","['lunch', 'lasagn']"
153,"Light Beer, 19 Ounce, Draft",Carrabba's Italian Grill,1,"['light', 'beer', '19', 'ounce', 'draft']","['light', 'beer', '19', 'ounc', 'draft']"
154,"Kids, Side, Penne Pomodoro",Carrabba's Italian Grill,0,"['kids', 'side', 'penne', 'pomodoro']","['kid', 'side', 'penn', 'pomodoro']"
155,"Rose Wine, Glass, 9 Ounce",Carrabba's Italian Grill,1,"['rose', 'wine', 'glass', '9', 'ounce']","['rose', 'wine', 'glass', '9', 'ounc']"
156,"Catering, Tomato Basil Salmon & Chicken Bryan, 10 Servings",Carrabba's Italian Grill,0,"['catering', 'tomato', 'basil', 'salmon', 'chicken', 'bryan', '10', 'servings']","['cater', 'tomato', 'basil', 'salmon', 'chicken', 'bryan', '10', 'serv']"
157,"Catering, Sliced Sirloin Marsala, 10 Servings",Carrabba's Italian Grill,0,"['catering', 'sliced', 'sirloin', 'marsala', '10', 'servings']","['cater', 'slice', 'sirloin', 'marsala', '10', 'serv']"
158,"Calamari, Small",Carrabba's Italian Grill,0,"['calamari', 'small']","['calamari', 'small']"
159,Vanilla Espresso Martini,Carrabba's Italian Grill,1,"['vanilla', 'espresso', 'martini']","['vanilla', 'espresso', 'martini']"
160,"Catering, Italian Sandwich, 1 Serving",Carrabba's Italian Grill,0,"['catering', 'italian', 'sandwich', '1', 'serving']","['cater', 'italian', 'sandwich', '1', 'serv']"
161,Grilled Vegetables,Carrabba's Italian Grill,1,"['grilled', 'vegetables']","['grill', 'veget']"
162,"Samuel Adams Boston Lager, 13 oz, Draft",Carrabba's Italian Grill,1,"['samuel', 'adams', 'boston', 'lager', '13', 'oz', 'draft']","['samuel', 'adam', 'boston', 'lager', '13', 'oz', 'draft']"
163,"Flavored Tea, With Ice, White Peach",Carrabba's Italian Grill,1,"['flavored', 'tea', 'with', 'ice', 'white', 'peach']","['flavor', 'tea', 'ice', 'white', 'peach']"
164,"Minute Maid Lemonade, With Ice (To-Go)",Carrabba's Italian Grill,0,"['minute', 'maid', 'lemonade', 'with', 'ice', 'togo']","['minut', 'maid', 'lemonad', 'ice', 'togo']"
165,"Catering, Penne Positano With Chicken, 10 Servings",Carrabba's Italian Grill,0,"['catering', 'penne', 'positano', 'with', 'chicken', '10', 'servings']","['cater', 'penn', 'positano', 'chicken', '10', 'serv']"
166,Marsala Di Carrabba,Carrabba's Italian Grill,0,"['marsala', 'di', 'carrabba']","['marsala', 'di', 'carrabba']"
167,"Light Beer, 13 Ounce, Draft",Carrabba's Italian Grill,1,"['light', 'beer', '13', 'ounce', 'draft']","['light', 'beer', '13', 'ounc', 'draft']"
168,"Birra Moretti, 13 oz, Draft",Carrabba's Italian Grill,1,"['birra', 'moretti', '13', 'oz', 'draft']","['birra', 'moretti', '13', 'oz', 'draft']"
169,"Catering, Strawberry Flavored Lemonade, Gallon",Carrabba's Italian Grill,0,"['catering', 'strawberry', 'flavored', 'lemonade', 'gallon']","['cater', 'strawberri', 'flavor', 'lemonad', 'gallon']"
170,"Bud Light, 13 oz, Draft",Carrabba's Italian Grill,1,"['bud', 'light', '13', 'oz', 'draft']","['bud', 'light', '13', 'oz', 'draft']"
171,"Catering, Penne Weesie, 10 Servings",Carrabba's Italian Grill,0,"['catering', 'penne', 'weesie', '10', 'servings']","['cater', 'penn', 'weesi', '10', 'serv']"
172,"Rigatoni Campagnolo Family Bundle, 1 Serving",Carrabba's Italian Grill,0,"['rigatoni', 'campagnolo', 'family', 'bundle', '1', 'serving']","['rigatoni', 'campagnolo', 'famili', 'bundl', '1', 'serv']"
173,"Lunch, Fettuccine Weesie With Whole Grain Pasta",Carrabba's Italian Grill,0,"['lunch', 'fettuccine', 'weesie', 'with', 'whole', 'grain', 'pasta']","['lunch', 'fettuccin', 'weesi', 'whole', 'grain', 'pasta']"
174,"Lunch, Spaghetti With Meatballs With Whole Grain Spaghetti",Carrabba's Italian Grill,0,"['lunch', 'spaghetti', 'with', 'meatballs', 'with', 'whole', 'grain', 'spaghetti']","['lunch', 'spaghetti', 'meatbal', 'whole', 'grain', 'spaghetti']"
175,"Catering, Italian Salad With Chicken, 1 Serving",Carrabba's Italian Grill,0,"['catering', 'italian', 'salad', 'with', 'chicken', '1', 'serving']","['cater', 'italian', 'salad', 'chicken', '1', 'serv']"
176,Strawberry Cheesecake,Carrabba's Italian Grill,0,"['strawberry', 'cheesecake']","['strawberri', 'cheesecak']"
177,"Catering, Chicken Bryan, 10 Servings",Carrabba's Italian Grill,0,"['catering', 'chicken', 'bryan', '10', 'servings']","['cater', 'chicken', 'bryan', '10', 'serv']"
178,Rigatoni Campagnolo With Gluten Free Pasta,Carrabba's Italian Grill,0,"['rigatoni', 'campagnolo', 'with', 'gluten', 'free', 'pasta']","['rigatoni', 'campagnolo', 'gluten', 'free', 'pasta']"
179,Parmesan-Crusted Chicken Arugula,Carrabba's Italian Grill,0,"['parmesancrusted', 'chicken', 'arugula']","['parmesancrust', 'chicken', 'arugula']"
180,Linguine Positano With Chicken,Carrabba's Italian Grill,0,"['linguine', 'positano', 'with', 'chicken']","['linguin', 'positano', 'chicken']"
181,"Catering, Tuscan Grilled Chicken",Carrabba's Italian Grill,1,"['catering', 'tuscan', 'grilled', 'chicken']","['cater', 'tuscan', 'grill', 'chicken']"
182,"Catering, Chicken Marsala",Carrabba's Italian Grill,0,"['catering', 'chicken', 'marsala']","['cater', 'chicken', 'marsala']"
183,Spaghetti With Pomodoro Sauce With Gluten Free Pasta,Carrabba's Italian Grill,0,"['spaghetti', 'with', 'pomodoro', 'sauce', 'with', 'gluten', 'free', 'pasta']","['spaghetti', 'pomodoro', 'sauc', 'gluten', 'free', 'pasta']"
184,Linguine Pescatore With Shrimp With Gluten-Free Pasta,Carrabba's Italian Grill,0,"['linguine', 'pescatore', 'with', 'shrimp', 'with', 'glutenfree', 'pasta']","['linguin', 'pescator', 'shrimp', 'glutenfre', 'pasta']"
185,"Lunch, Spaghetti With Meatballs With Gluten Free Pasta",Carrabba's Italian Grill,0,"['lunch', 'spaghetti', 'with', 'meatballs', 'with', 'gluten', 'free', 'pasta']","['lunch', 'spaghetti', 'meatbal', 'gluten', 'free', 'pasta']"
186,"Catering, Bread Herbs And Oil, 1 Serving",Carrabba's Italian Grill,1,"['catering', 'bread', 'herbs', 'and', 'oil', '1', 'serving']","['cater', 'bread', 'herb', 'oil', '1', 'serv']"
187,Linguine Pescatore With Gluten Free Pasta,Carrabba's Italian Grill,0,"['linguine', 'pescatore', 'with', 'gluten', 'free', 'pasta']","['linguin', 'pescator', 'gluten', 'free', 'pasta']"
