,_index,_type,_id,_score,fields.item_name,fields.brand_name,fields.nf_calories,fields.nf_calories_from_fat,fields.nf_total_fat,fields.nf_saturated_fat,fields.nf_trans_fatty_acid,fields.nf_cholesterol,fields.nf_sodium,fields.nf_sugars,fields.nf_protein,healthy,caption_clean,filtered_caption
10,f762ef22-e660-434f-9071-a10ea6691c27,item,d3ea12385f299d65156ba4e0,1,Loaded Taco Fries Burrito,Taco Bell Canada,590,,31.0,9.0,0.5,40.0,960.0,3.0,17.0,0,"['loaded', 'taco', 'fries', 'burrito']","['load', 'taco', 'fri', 'burrito']"
11,f762ef22-e660-434f-9071-a10ea6691c27,item,d3ea1238c0465e7feccc24df,1,Loaded Taco Fries,Taco Bell Canada,610,,37.0,7.0,0.0,30.0,880.0,3.0,12.0,0,"['loaded', 'taco', 'fries']","['load', 'taco', 'fri']"
12,f762ef22-e660-434f-9071-a10ea6691c27,item,d3ea32384bc6966d74033af1,1,Loaded Nacho Taco - Spicy,Taco Bell Canada,260,,13.0,4.5,0.0,25.0,890.0,2.0,10.0,0,"['loaded', 'nacho', 'taco', 'spicy']","['load', 'nacho', 'taco', 'spici']"
13,f762ef22-e660-434f-9071-a10ea6691c27,item,152173451ff8e33ca665dd6a,1,Crispy Bacon,Texas de Brazil,20,15.0,2.0,0.5,0.0,5.0,85.0,0.0,1.0,1,"['crispy', 'bacon']","['crispi', 'bacon']"
14,f762ef22-e660-434f-9071-a10ea6691c27,item,15217345276d436c0ff3787c,1,Parmesan Chicken Drumettes,Texas de Brazil,110,60.0,6.0,1.5,0.0,40.0,670.0,0.0,12.0,1,"['parmesan', 'chicken', 'drumettes']","['parmesan', 'chicken', 'drumett']"
15,f762ef22-e660-434f-9071-a10ea6691c27,item,152173452838434047ef22e1,1,Brazilian Potato Salad,Texas de Brazil,160,140.0,16.0,2.5,0.0,10.0,180.0,0.0,1.0,1,"['brazilian', 'potato', 'salad']","['brazilian', 'potato', 'salad']"
16,f762ef22-e660-434f-9071-a10ea6691c27,item,15217345311c4e0089160a26,1,Dressing - Bleu Cheese,Texas de Brazil,130,120.0,14.0,3.0,0.0,15.0,210.0,0.0,2.0,1,"['dressing', 'bleu', 'cheese']","['dress', 'bleu', 'chees']"
17,f762ef22-e660-434f-9071-a10ea6691c27,item,15217345347703c82f610670,1,Godiva Flight,Texas de Brazil,210,70.0,7.0,0.0,0.0,0.0,55.0,20.0,2.0,1,"['godiva', 'flight']","['godiva', 'flight']"
18,f762ef22-e660-434f-9071-a10ea6691c27,item,1521734537c750b8673d0d1d,1,Mint Sauce,Texas de Brazil,30,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1,"['mint', 'sauce']","['mint', 'sauc']"
19,f762ef22-e660-434f-9071-a10ea6691c27,item,152173453f721574d7378b33,1,Caipirinha,Texas de Brazil,190,0.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0,1,['caipirinha'],['caipirinha']
20,f762ef22-e660-434f-9071-a10ea6691c27,item,152173454970209564fef9b9,1,Hummus,Texas de Brazil,50,20.0,2.5,0.0,0.0,0.0,120.0,1.0,2.0,1,['hummus'],['hummu']
21,f762ef22-e660-434f-9071-a10ea6691c27,item,152173455c89c34d0215f86c,1,Santa Fe Salad,Texas de Brazil,90,60.0,6.0,0.5,0.0,0.0,130.0,1.0,2.0,1,"['santa', 'fe', 'salad']","['santa', 'fe', 'salad']"
22,f762ef22-e660-434f-9071-a10ea6691c27,item,152173455f0a2a997dba10ad,1,Lamb Chops,Texas de Brazil,140,90.0,10.0,4.5,0.0,45.0,260.0,0.0,11.0,1,"['lamb', 'chops']","['lamb', 'chop']"
23,f762ef22-e660-434f-9071-a10ea6691c27,item,152173455f827e392b944c1c,1,Brazilian Rose,Texas de Brazil,330,0.0,0.0,0.0,0.0,0.0,10.0,30.0,2.0,1,"['brazilian', 'rose']","['brazilian', 'rose']"
24,f762ef22-e660-434f-9071-a10ea6691c27,item,1521734560521079cb5375f3,1,Grand Marnier Flight,Texas de Brazil,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,"['grand', 'marnier', 'flight']","['grand', 'marnier', 'flight']"
25,f762ef22-e660-434f-9071-a10ea6691c27,item,152173456b6b57d19228b5da,1,Pecan Pie with Cream Cheese Center a la Mode,Texas de Brazil,750,280.0,32.0,12.0,0.0,100.0,550.0,70.0,9.0,0,"['pecan', 'pie', 'with', 'cream', 'cheese', 'center', 'a', 'la', 'mode']","['pecan', 'pie', 'cream', 'chees', 'center', 'la', 'mode']"
26,f762ef22-e660-434f-9071-a10ea6691c27,item,152173456bc16c2dc48dbde7,1,Espresso Delight,Texas de Brazil,200,35.0,4.0,2.5,0.0,0.0,0.0,0.0,1.0,1,"['espresso', 'delight']","['espresso', 'delight']"
27,f762ef22-e660-434f-9071-a10ea6691c27,item,1521734576210791f81e239f,1,Grilled Provolone Cheese,Texas de Brazil,40,30.0,3.5,1.5,0.0,10.0,60.0,0.0,2.0,1,"['grilled', 'provolone', 'cheese']","['grill', 'provolon', 'chees']"
28,f762ef22-e660-434f-9071-a10ea6691c27,item,152173457a7dcac15cc249a5,1,Patron Flight,Texas de Brazil,190,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"['patron', 'flight']","['patron', 'flight']"
29,f762ef22-e660-434f-9071-a10ea6691c27,item,1521734586113bb2fd22e747,1,Ipanema Margarita,Texas de Brazil,260,0.0,0.0,0.0,0.0,0.0,10.0,27.0,0.0,1,"['ipanema', 'margarita']","['ipanema', 'margarita']"
30,f762ef22-e660-434f-9071-a10ea6691c27,item,15217345861ce39e0290e438,1,Hennessy Flight,Texas de Brazil,190,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"['hennessy', 'flight']","['hennessi', 'flight']"
31,f762ef22-e660-434f-9071-a10ea6691c27,item,152173458bb653da9988f2de,1,Orange Vinaigrette,Texas de Brazil,120,80.0,9.0,0.5,0.0,0.0,10.0,8.0,0.0,1,"['orange', 'vinaigrette']","['orang', 'vinaigrett']"
32,f762ef22-e660-434f-9071-a10ea6691c27,item,152173458fcc58ca4c513049,1,Cucumber Salad,Texas de Brazil,70,50.0,6.0,0.0,0.0,0.0,1090.0,1.0,1.0,0,"['cucumber', 'salad']","['cucumb', 'salad']"
33,f762ef22-e660-434f-9071-a10ea6691c27,item,152173459380717e93d8fe46,1,The Ruler of Marula,Texas de Brazil,260,100.0,10.0,7.0,0.0,40.0,75.0,10.0,2.0,1,"['the', 'ruler', 'of', 'marula']","['ruler', 'marula']"
34,f762ef22-e660-434f-9071-a10ea6691c27,item,1521734596d7c7d68298a8ba,1,Liquor (94 Proof),Texas de Brazil,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"['liquor', '94', 'proof']","['liquor', '94', 'proof']"
35,f762ef22-e660-434f-9071-a10ea6691c27,item,152173459f12be126ad9bbad,1,Wine By The Glass - Red,Texas de Brazil,150,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,1,"['wine', 'by', 'the', 'glass', 'red']","['wine', 'glass', 'red']"
36,f762ef22-e660-434f-9071-a10ea6691c27,item,15217345a59c380e98893afa,1,Coconut Chess Pie a la Mode,Texas de Brazil,650,260.0,30.0,19.0,0.0,60.0,370.0,63.0,7.0,0,"['coconut', 'chess', 'pie', 'a', 'la', 'mode']","['coconut', 'chess', 'pie', 'la', 'mode']"
37,f762ef22-e660-434f-9071-a10ea6691c27,item,15217345c12e628b9757ae02,1,Picanha,Texas de Brazil,120,45.0,5.0,2.0,0.0,40.0,430.0,0.0,16.0,1,['picanha'],['picanha']
38,f762ef22-e660-434f-9071-a10ea6691c27,item,15217345c81a82f364028db9,1,Taylor Fladgate Flight,Texas de Brazil,190,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,1,"['taylor', 'fladgate', 'flight']","['taylor', 'fladgat', 'flight']"
39,f762ef22-e660-434f-9071-a10ea6691c27,item,15217345cb993ad733aecc40,1,Shrimp Salad,Texas de Brazil,35,15.0,2.0,0.0,0.0,35.0,270.0,0.0,4.0,1,"['shrimp', 'salad']","['shrimp', 'salad']"
40,f762ef22-e660-434f-9071-a10ea6691c27,item,15217345e7094dffee1af097,1,Salami,Texas de Brazil,35,20.0,2.0,1.0,0.0,10.0,250.0,1.0,4.0,1,['salami'],['salami']
41,f762ef22-e660-434f-9071-a10ea6691c27,item,15217345e85764277f92f94d,1,Quinoa Salad,Texas de Brazil,70,50.0,6.0,0.0,0.0,0.0,20.0,3.0,1.0,1,"['quinoa', 'salad']","['quinoa', 'salad']"
42,f762ef22-e660-434f-9071-a10ea6691c27,item,15217345f16ac97becc51e27,1,Sauteed Mushrooms,Texas de Brazil,25,10.0,1.5,1.0,0.0,5.0,150.0,1.0,1.0,1,"['sauteed', 'mushrooms']","['saute', 'mushroom']"
43,f762ef22-e660-434f-9071-a10ea6691c27,item,15217345f4d090b7c1d0ead7,1,Cipollini Onions,Texas de Brazil,20,0.0,0.0,0.0,0.0,0.0,55.0,2.0,0.0,1,"['cipollini', 'onions']","['cipollini', 'onion']"
44,f762ef22-e660-434f-9071-a10ea6691c27,item,15217345fc656507285ceb78,1,Potatoes au Gratin,Texas de Brazil,130,90.0,11.0,5.0,0.0,30.0,120.0,0.0,3.0,1,"['potatoes', 'au', 'gratin']","['potato', 'au', 'gratin']"
45,f762ef22-e660-434f-9071-a10ea6691c27,item,152142861147f17c24ddf598,1,Seared Tuna Salad,Just Salad,170,70.0,8.0,1.0,0.0,25.0,460.0,3.0,18.0,1,"['seared', 'tuna', 'salad']","['sear', 'tuna', 'salad']"
46,f762ef22-e660-434f-9071-a10ea6691c27,item,15214286ce6efef3491f1c25,1,Seared Ahi Tuna,Just Salad,80,25.0,3.0,0.5,0.0,25.0,230.0,1.0,12.0,1,"['seared', 'ahi', 'tuna']","['sear', 'ahi', 'tuna']"
47,f762ef22-e660-434f-9071-a10ea6691c27,item,1521775814bc3d14ed0e7a4f,1,Black Beans,Just Salad,80,0.0,0.0,0.0,0.0,0.0,430.0,0.0,5.0,1,"['black', 'beans']","['black', 'bean']"
48,f762ef22-e660-434f-9071-a10ea6691c27,item,152177581c3a356cc53fba57,1,Pita Chips,Just Salad,90,30.0,3.5,0.0,0.0,0.0,190.0,0.0,2.0,1,"['pita', 'chips']","['pita', 'chip']"
49,f762ef22-e660-434f-9071-a10ea6691c27,item,152177582ddd26902276c9d8,1,Sharp White Cheddar,Just Salad,130,100.0,11.0,6.0,0.0,30.0,240.0,0.0,8.0,1,"['sharp', 'white', 'cheddar']","['sharp', 'white', 'cheddar']"
50,f762ef22-e660-434f-9071-a10ea6691c27,item,15219505a9b52abe0c968210,1,Kids Boneless Wings With Root Beer Glaze,BJ's Restaurants,570,,26.0,4.0,0.0,100.0,2230.0,20.0,33.0,0,"['kids', 'boneless', 'wings', 'with', 'root', 'beer', 'glaze']","['kid', 'boneless', 'wing', 'root', 'beer', 'glaze']"
51,f762ef22-e660-434f-9071-a10ea6691c27,item,15219505aa501b02e0b376b7,1,Best Beginnings Appetizer Combo With Cherry Chipotle Glaze,BJ's Restaurants,2280,,120.0,38.0,0.0,300.0,5440.0,56.0,84.0,0,"['best', 'beginnings', 'appetizer', 'combo', 'with', 'cherry', 'chipotle', 'glaze']","['best', 'begin', 'appet', 'combo', 'cherri', 'chipotl', 'glaze']"
52,f762ef22-e660-434f-9071-a10ea6691c27,item,15219505b06da6da55e9f351,1,Brewhouse Meatballs,BJ's Restaurants,570,,42.0,17.0,0.0,135.0,1130.0,5.0,25.0,0,"['brewhouse', 'meatballs']","['brewhous', 'meatbal']"
53,f762ef22-e660-434f-9071-a10ea6691c27,item,15219505b087a1fece9fc8f7,1,Broccoli,BJ's Restaurants,40,,0.0,0.0,0.0,0.0,30.0,2.0,3.0,1,['broccoli'],['broccoli']
54,f762ef22-e660-434f-9071-a10ea6691c27,item,15219505b35d7e769b860552,1,Garlic Bread Knots,BJ's Restaurants,220,,8.0,2.0,0.0,0.0,420.0,2.0,6.0,1,"['garlic', 'bread', 'knots']","['garlic', 'bread', 'knot']"
55,f762ef22-e660-434f-9071-a10ea6691c27,item,15219505b476905675e377f5,1,"Mini Pizza Topping, Housemade Meatballs",BJ's Restaurants,80,,6.0,3.0,0.0,20.0,95.0,1.0,4.0,1,"['mini', 'pizza', 'topping', 'housemade', 'meatballs']","['mini', 'pizza', 'top', 'housemad', 'meatbal']"
56,f762ef22-e660-434f-9071-a10ea6691c27,item,15219505b9f45efeb5f2b96e,1,Two Eggs Any Style With Sourdough Toast,BJ's Restaurants,610,,21.0,5.0,0.0,280.0,1210.0,5.0,19.0,0,"['two', 'eggs', 'any', 'style', 'with', 'sourdough', 'toast']","['two', 'egg', 'style', 'sourdough', 'toast']"
57,f762ef22-e660-434f-9071-a10ea6691c27,item,15219505bdee7c0ae4d42ceb,1,"Catering, Lemon Thyme Chicken",BJ's Restaurants,2670,,79.0,12.0,0.0,595.0,9440.0,21.0,266.0,0,"['catering', 'lemon', 'thyme', 'chicken']","['cater', 'lemon', 'thyme', 'chicken']"
58,f762ef22-e660-434f-9071-a10ea6691c27,item,15219505bf0cdf4e58b27a89,1,Kids Crispy Mahi-Mahi Taco,BJ's Restaurants,440,,27.0,7.0,0.0,50.0,950.0,1.0,13.0,0,"['kids', 'crispy', 'mahimahi', 'taco']","['kid', 'crispi', 'mahimahi', 'taco']"
59,f762ef22-e660-434f-9071-a10ea6691c27,item,15219505c14bc6e7a33a6f6e,1,"Catering, Root Beer Glazed Ribs Appetizer",BJ's Restaurants,3110,,69.0,25.0,0.0,230.0,15410.0,496.0,62.0,0,"['catering', 'root', 'beer', 'glazed', 'ribs', 'appetizer']","['cater', 'root', 'beer', 'glaze', 'rib', 'appet']"
60,f762ef22-e660-434f-9071-a10ea6691c27,item,15219505c2364067e75a2ba3,1,BJ's Piranha Pale Ale,BJ's Restaurants,250,,0.0,0.0,0.0,0.0,15.0,0.0,5.0,1,"['bjs', 'piranha', 'pale', 'ale']","['bj', 'piranha', 'pale', 'ale']"
61,f762ef22-e660-434f-9071-a10ea6691c27,item,15219505c291a78fb07303a6,1,"Burger Add On, Fried Egg",BJ's Restaurants,90,,7.0,2.0,0.0,210.0,180.0,0.0,6.0,0,"['burger', 'add', 'on', 'fried', 'egg']","['burger', 'add', 'fri', 'egg']"
62,f762ef22-e660-434f-9071-a10ea6691c27,item,15219505cea4ee77cd63c0df,1,Buttermilk Pancake Combo With Ham,BJ's Restaurants,940,,27.0,7.0,0.0,40.0,2660.0,51.0,25.0,0,"['buttermilk', 'pancake', 'combo', 'with', 'ham']","['buttermilk', 'pancak', 'combo', 'ham']"
63,f762ef22-e660-434f-9071-a10ea6691c27,item,15219505d0bc92776bfbc6b9,1,Pirahna Pale Ale Chili And Cheese Potato,BJ's Restaurants,800,,36.0,21.0,0.0,110.0,1110.0,6.0,34.0,0,"['pirahna', 'pale', 'ale', 'chili', 'and', 'cheese', 'potato']","['pirahna', 'pale', 'ale', 'chili', 'chees', 'potato']"
64,f762ef22-e660-434f-9071-a10ea6691c27,item,15219505d1d2f9bfa1c47bd6,1,Deep Dish Ziti,BJ's Restaurants,1400,,91.0,35.0,1.0,175.0,2820.0,16.0,44.0,0,"['deep', 'dish', 'ziti']","['deep', 'dish', 'ziti']"
65,f762ef22-e660-434f-9071-a10ea6691c27,item,15219505d31f12b30ac771dc,1,Chimichurri Chicken,BJ's Restaurants,840,,45.0,6.0,0.0,100.0,1390.0,16.0,44.0,0,"['chimichurri', 'chicken']","['chimichurri', 'chicken']"
66,f762ef22-e660-434f-9071-a10ea6691c27,item,15219505d5fd243f59d9b961,1,Mini Monkey Bread Pizookie,BJ's Restaurants,630,,28.0,10.0,0.0,55.0,540.0,52.0,8.0,0,"['mini', 'monkey', 'bread', 'pizookie']","['mini', 'monkey', 'bread', 'pizooki']"
67,f762ef22-e660-434f-9071-a10ea6691c27,item,15219505dcf05cd32e22f324,1,"Catering Salads, Asian Chopped Salad",BJ's Restaurants,2650,,119.0,20.0,0.0,495.0,6540.0,116.0,178.0,0,"['catering', 'salads', 'asian', 'chopped', 'salad']","['cater', 'salad', 'asian', 'chop', 'salad']"
68,f762ef22-e660-434f-9071-a10ea6691c27,item,15219505dd86f237984ba622,1,"Catering, Mandarin Orange Green Tea",BJ's Restaurants,0,,0.0,0.0,0.0,0.0,40.0,0.0,0.0,1,"['catering', 'mandarin', 'orange', 'green', 'tea']","['cater', 'mandarin', 'orang', 'green', 'tea']"
69,f762ef22-e660-434f-9071-a10ea6691c27,item,15219505def719178812c8fa,1,Best Beginnings Appetizer Combo With Nashville Hot Sauce,BJ's Restaurants,2420,,141.0,45.0,0.0,300.0,6170.0,38.0,85.0,0,"['best', 'beginnings', 'appetizer', 'combo', 'with', 'nashville', 'hot', 'sauce']","['best', 'begin', 'appet', 'combo', 'nashvil', 'hot', 'sauc']"
70,f762ef22-e660-434f-9071-a10ea6691c27,item,15219505ea6776b3f72cc86f,1,Mini Cookies 'N' Cream Pizookie,BJ's Restaurants,670,,32.0,17.0,0.0,45.0,530.0,56.0,8.0,0,"['mini', 'cookies', 'n', 'cream', 'pizookie']","['mini', 'cooki', 'n', 'cream', 'pizooki']"
71,f762ef22-e660-434f-9071-a10ea6691c27,item,15219505eb31298703879980,1,BJ's Nutty Brewnette,BJ's Restaurants,300,,0.0,0.0,0.0,0.0,40.0,0.0,4.0,1,"['bjs', 'nutty', 'brewnette']","['bj', 'nutti', 'brewnett']"
72,f762ef22-e660-434f-9071-a10ea6691c27,item,15219505eedc287f6c2d329d,1,"Catering, BJ's Fresh Squeezed Lemonade",BJ's Restaurants,1130,,0.0,0.0,0.0,0.0,110.0,258.0,0.0,0,"['catering', 'bjs', 'fresh', 'squeezed', 'lemonade']","['cater', 'bj', 'fresh', 'squeez', 'lemonad']"
73,f762ef22-e660-434f-9071-a10ea6691c27,item,15219505f789ebf3e5582343,1,Rice Wine Vinaigrette,BJ's Restaurants,170,,15.0,2.0,0.0,0.0,640.0,8.0,1.0,1,"['rice', 'wine', 'vinaigrette']","['rice', 'wine', 'vinaigrett']"
74,f762ef22-e660-434f-9071-a10ea6691c27,item,15219505f7ade6530a12c5e0,1,Sparkling Sangria,BJ's Restaurants,330,,0.0,0.0,0.0,0.0,0.0,24.0,1.0,1,"['sparkling', 'sangria']","['sparkl', 'sangria']"
75,f762ef22-e660-434f-9071-a10ea6691c27,item,15219505f7bbe18300254300,1,"Catering, Vegetarian Hoagie",BJ's Restaurants,450,,20.0,4.0,0.0,5.0,1090.0,6.0,11.0,0,"['catering', 'vegetarian', 'hoagie']","['cater', 'vegetarian', 'hoagi']"
76,f762ef22-e660-434f-9071-a10ea6691c27,item,15219505fa30c15fa89bc3ce,1,Orange Cream Soda,BJ's Restaurants,210,,0.0,0.0,0.0,0.0,35.0,50.0,0.0,0,"['orange', 'cream', 'soda']","['orang', 'cream', 'soda']"
77,f762ef22-e660-434f-9071-a10ea6691c27,item,15219505fb3ffa1fe31dbc3b,1,Raspberry Sparkling Water,BJ's Restaurants,30,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,"['raspberry', 'sparkling', 'water']","['raspberri', 'sparkl', 'water']"
78,f762ef22-e660-434f-9071-a10ea6691c27,item,23cb995373a76d250ef530d0,1,Hot Chocolate,BJ's Restaurants,160,,6.0,4.0,0.0,0.0,170.0,19.0,1.0,1,"['hot', 'chocolate']","['hot', 'chocol']"
79,f762ef22-e660-434f-9071-a10ea6691c27,item,ae49759908c4a654abdadd2a,1,"Buttermilk Pancakes, Short Stack",BJ's Restaurants,910,,31.0,9.0,0.0,0.0,1890.0,49.0,12.0,0,"['buttermilk', 'pancakes', 'short', 'stack']","['buttermilk', 'pancak', 'short', 'stack']"
80,f762ef22-e660-434f-9071-a10ea6691c27,item,ae4975991554f4540e4c194c,1,Sourdough Toast,BJ's Restaurants,250,,6.0,2.0,0.0,0.0,490.0,2.0,7.0,1,"['sourdough', 'toast']","['sourdough', 'toast']"
81,f762ef22-e660-434f-9071-a10ea6691c27,item,ae49759919f44d842f8b6470,1,Oil & Vinegar,BJ's Restaurants,210,,21.0,3.0,0.0,0.0,0.0,5.0,0.0,0,"['oil', 'vinegar']","['oil', 'vinegar']"
82,f762ef22-e660-434f-9071-a10ea6691c27,item,ae497599278a5f688c12ac82,1,"Large Pizza Topping, Artichoke Hearts",BJ's Restaurants,15,,0.0,0.0,0.0,0.0,170.0,0.0,1.0,1,"['large', 'pizza', 'topping', 'artichoke', 'hearts']","['larg', 'pizza', 'top', 'artichok', 'heart']"
83,f762ef22-e660-434f-9071-a10ea6691c27,item,ae4975992c3df1b4b3ed4e0e,1,Chocolate Chunk Pizookie,BJ's Restaurants,1150,,45.0,28.0,0.0,120.0,870.0,122.0,14.0,0,"['chocolate', 'chunk', 'pizookie']","['chocol', 'chunk', 'pizooki']"
84,f762ef22-e660-434f-9071-a10ea6691c27,item,ae4975992c87c6f847f3cc85,1,Kids Mashed Potatoes,BJ's Restaurants,250,,14.0,8.0,0.0,40.0,820.0,3.0,5.0,0,"['kids', 'mashed', 'potatoes']","['kid', 'mash', 'potato']"
85,f762ef22-e660-434f-9071-a10ea6691c27,item,ae4975993d587b8c0eadf28c,1,Kids Monkey Bread Pizookie,BJ's Restaurants,630,,28.0,10.0,0.0,55.0,540.0,52.0,8.0,0,"['kids', 'monkey', 'bread', 'pizookie']","['kid', 'monkey', 'bread', 'pizooki']"
86,f762ef22-e660-434f-9071-a10ea6691c27,item,ae49759943a09021c7e95957,1,Shrimp Scampi Pasta,BJ's Restaurants,1660,,100.0,41.0,2.0,390.0,2370.0,6.0,57.0,0,"['shrimp', 'scampi', 'pasta']","['shrimp', 'scampi', 'pasta']"
87,f762ef22-e660-434f-9071-a10ea6691c27,item,ae49759945826a2108169350,1,Mountain Dew,BJ's Restaurants,140,,0.0,0.0,0.0,0.0,65.0,39.0,0.0,0,"['mountain', 'dew']","['mountain', 'dew']"
88,f762ef22-e660-434f-9071-a10ea6691c27,item,ae49759945be40d5b87f3f26,1,"Large Pizza Topping, Roasted Asparagus",BJ's Restaurants,5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"['large', 'pizza', 'topping', 'roasted', 'asparagus']","['larg', 'pizza', 'top', 'roast', 'asparagu']"
89,f762ef22-e660-434f-9071-a10ea6691c27,item,ae497599460947ad0f95d620,1,Kids Fresh Fruit,BJ's Restaurants,60,,0.0,0.0,0.0,0.0,0.0,10.0,1.0,1,"['kids', 'fresh', 'fruit']","['kid', 'fresh', 'fruit']"
90,f762ef22-e660-434f-9071-a10ea6691c27,item,ae4975994b8c557110cde484,1,Kids Orange Juice,BJ's Restaurants,110,,0.0,0.0,0.0,0.0,15.0,21.0,2.0,1,"['kids', 'orange', 'juice']","['kid', 'orang', 'juic']"
91,f762ef22-e660-434f-9071-a10ea6691c27,item,ae4975994d758bf57a83e819,1,"Large Pizza Topping, Fire-Roasted Red Peppers",BJ's Restaurants,15,,0.0,0.0,0.0,0.0,210.0,2.0,0.0,1,"['large', 'pizza', 'topping', 'fireroasted', 'red', 'peppers']","['larg', 'pizza', 'top', 'fireroast', 'red', 'pepper']"
92,f762ef22-e660-434f-9071-a10ea6691c27,item,ae49759969612d55feeb662f,1,Lemon Thyme Chicken,BJ's Restaurants,630,,19.0,3.0,0.0,135.0,2240.0,5.0,60.0,0,"['lemon', 'thyme', 'chicken']","['lemon', 'thyme', 'chicken']"
93,f762ef22-e660-434f-9071-a10ea6691c27,item,ae4975996d9604bda419246a,1,Sliders,BJ's Restaurants,880,,32.0,10.0,0.0,120.0,1500.0,18.0,49.0,0,['sliders'],['slider']
94,f762ef22-e660-434f-9071-a10ea6691c27,item,ae4975996d98becd8550bda6,1,Crispy Fried Artichokes,BJ's Restaurants,390,,16.0,3.0,0.0,5.0,2200.0,4.0,9.0,0,"['crispy', 'fried', 'artichokes']","['crispi', 'fri', 'artichok']"
95,f762ef22-e660-434f-9071-a10ea6691c27,item,ae4975996f8a2e0d58b20289,1,"Kids Pasta, Grilled Chicken",BJ's Restaurants,110,,3.0,1.0,0.0,50.0,430.0,0.0,20.0,1,"['kids', 'pasta', 'grilled', 'chicken']","['kid', 'pasta', 'grill', 'chicken']"
96,f762ef22-e660-434f-9071-a10ea6691c27,item,ae497599733bfbed82a1d76e,1,"BJ's Classic Combo Deep Dish Pizza, Medium",BJ's Restaurants,330,,17.0,7.0,0.0,35.0,890.0,2.0,13.0,0,"['bjs', 'classic', 'combo', 'deep', 'dish', 'pizza', 'medium']","['bj', 'classic', 'combo', 'deep', 'dish', 'pizza', 'medium']"
